id,pressure,currentdate,currentime,device
10856,"92016.414062
","2019-05-05 00:00:02.780223",,/BSO-1
10857,"92022.132812
","2019-05-05 00:00:04.247504",,/BSO-2
10858,"92016.109375
","2019-05-05 00:00:12.800583",,/BSO-1
10859,"92021.843750
","2019-05-05 00:00:14.257516",,/BSO-2
10860,"92015.328125
","2019-05-05 00:00:22.824551",,/BSO-1
10861,"92021.328125
","2019-05-05 00:00:24.267204",,/BSO-2
10862,"92016.687500
","2019-05-05 00:00:32.832580",,/BSO-1
10863,"92021.398438
","2019-05-05 00:00:34.291686",,/BSO-2
10864,"92015.554688
","2019-05-05 00:00:42.850923",,/BSO-1
10865,"92021.601562
","2019-05-05 00:00:44.300197",,/BSO-2
10866,"92015.210938
","2019-05-05 00:00:52.871730",,/BSO-1
10867,"92020.796875
","2019-05-05 00:00:54.308206",,/BSO-2
10868,"92015.453125
","2019-05-05 00:01:02.891092",,/BSO-1
10869,"92021.671875
","2019-05-05 00:01:04.327839",,/BSO-2
10870,"92014.804688
","2019-05-05 00:01:12.902347",,/BSO-1
10871,"92020.250000
","2019-05-05 00:01:14.328972",,/BSO-2
10872,"92014.882812
","2019-05-05 00:01:22.901682",,/BSO-1
10873,"92020.453125
","2019-05-05 00:01:24.351779",,/BSO-2
10874,"92014.500000
","2019-05-05 00:01:32.961680",,/BSO-1
10875,"92019.921875
","2019-05-05 00:01:34.376705",,/BSO-2
10876,"92015.562500
","2019-05-05 00:01:42.982282",,/BSO-1
10877,"92020.453125
","2019-05-05 00:01:44.379581",,/BSO-2
10878,"92014.429688
","2019-05-05 00:01:52.982396",,/BSO-1
10879,"92020.484375
","2019-05-05 00:01:54.379998",,/BSO-2
10880,"92014.320312
","2019-05-05 00:02:03.001400",,/BSO-1
10881,"92020.203125
","2019-05-05 00:02:04.393640",,/BSO-2
10882,"92012.367188
","2019-05-05 00:02:13.011773",,/BSO-1
10883,"92019.718750
","2019-05-05 00:02:14.400647",,/BSO-2
10884,"92012.812500
","2019-05-05 00:02:23.035477",,/BSO-1
10885,"92020.867188
","2019-05-05 00:02:24.419985",,/BSO-2
10886,"92013.734375
","2019-05-05 00:02:33.033292",,/BSO-1
10887,"92021.765625
","2019-05-05 00:02:34.430583",,/BSO-2
10888,"92014.015625
","2019-05-05 00:02:43.043011",,/BSO-1
10889,"92021.359375
","2019-05-05 00:02:44.450328",,/BSO-2
10890,"92014.023438
","2019-05-05 00:02:53.052397",,/BSO-1
10891,"92021.015625
","2019-05-05 00:02:54.466038",,/BSO-2
10892,"92013.460938
","2019-05-05 00:03:03.077277",,/BSO-1
10893,"92019.523438
","2019-05-05 00:03:04.501596",,/BSO-2
10894,"92012.445312
","2019-05-05 00:03:13.075105",,/BSO-1
10895,"92020.257812
","2019-05-05 00:03:14.477289",,/BSO-2
10896,"92013.671875
","2019-05-05 00:03:23.082726",,/BSO-1
10897,"92020.640625
","2019-05-05 00:03:24.483441",,/BSO-2
10898,"92013.085938
","2019-05-05 00:03:33.104186",,/BSO-1
10899,"92018.164062
","2019-05-05 00:03:34.508268",,/BSO-2
10900,"92013.289062
","2019-05-05 00:03:43.107646",,/BSO-1
10901,"92019.242188
","2019-05-05 00:03:44.523965",,/BSO-2
10902,"92013.445312
","2019-05-05 00:03:53.113617",,/BSO-1
10903,"92019.390625
","2019-05-05 00:03:54.541717",,/BSO-2
10904,"92013.539062
","2019-05-05 00:04:03.133986",,/BSO-1
10905,"92018.320312
","2019-05-05 00:04:04.542270",,/BSO-2
10906,"92015.210938
","2019-05-05 00:04:13.152500",,/BSO-1
10907,"92020.687500
","2019-05-05 00:04:14.545849",,/BSO-2
10908,"92014.320312
","2019-05-05 00:04:23.173056",,/BSO-1
10909,"92019.148438
","2019-05-05 00:04:24.553087",,/BSO-2
10910,"92012.921875
","2019-05-05 00:04:33.177758",,/BSO-1
10911,"92021.109375
","2019-05-05 00:04:34.573368",,/BSO-2
10912,"92012.382812
","2019-05-05 00:04:43.194166",,/BSO-1
10913,"92020.390625
","2019-05-05 00:04:44.582585",,/BSO-2
10914,"92011.343750
","2019-05-05 00:04:53.203958",,/BSO-1
10915,"92021.703125
","2019-05-05 00:04:54.585417",,/BSO-2
10916,"92012.453125
","2019-05-05 00:05:03.214209",,/BSO-1
10917,"92019.460938
","2019-05-05 00:05:04.602391",,/BSO-2
10918,"92013.226562
","2019-05-05 00:05:13.215722",,/BSO-1
10919,"92019.960938
","2019-05-05 00:05:14.601001",,/BSO-2
10920,"92012.234375
","2019-05-05 00:05:23.233876",,/BSO-1
10921,"92019.296875
","2019-05-05 00:05:24.615110",,/BSO-2
10922,"92011.179688
","2019-05-05 00:05:33.236147",,/BSO-1
10923,"92019.296875
","2019-05-05 00:05:34.633342",,/BSO-2
10924,"92011.937500
","2019-05-05 00:05:43.248654",,/BSO-1
10925,"92018.984375
","2019-05-05 00:05:44.633948",,/BSO-2
10926,"92012.851562
","2019-05-05 00:05:53.256302",,/BSO-1
10927,"92019.250000
","2019-05-05 00:05:54.643963",,/BSO-2
10928,"92012.515625
","2019-05-05 00:06:03.264925",,/BSO-1
10929,"92019.859375
","2019-05-05 00:06:04.658796",,/BSO-2
10930,"92012.820312
","2019-05-05 00:06:13.265325",,/BSO-1
10931,"92018.851562
","2019-05-05 00:06:14.687968",,/BSO-2
10932,"92013.023438
","2019-05-05 00:06:23.269036",,/BSO-1
10933,"92020.046875
","2019-05-05 00:06:24.671584",,/BSO-2
10934,"92010.867188
","2019-05-05 00:06:33.290336",,/BSO-1
10935,"92017.039062
","2019-05-05 00:06:34.676005",,/BSO-2
10936,"92011.007812
","2019-05-05 00:06:43.305561",,/BSO-1
10937,"92018.750000
","2019-05-05 00:06:44.684992",,/BSO-2
10938,"92013.445312
","2019-05-05 00:06:53.324783",,/BSO-1
10939,"92018.093750
","2019-05-05 00:06:54.709119",,/BSO-2
10940,"92013.375000
","2019-05-05 00:07:03.326657",,/BSO-1
10941,"92019.640625
","2019-05-05 00:07:04.715695",,/BSO-2
10942,"92011.929688
","2019-05-05 00:07:13.339752",,/BSO-1
10943,"92018.796875
","2019-05-05 00:07:14.716592",,/BSO-2
10944,"92011.109375
","2019-05-05 00:07:23.345270",,/BSO-1
10945,"92018.476562
","2019-05-05 00:07:24.726156",,/BSO-2
10946,"92009.085938
","2019-05-05 00:07:33.364289",,/BSO-1
10947,"92017.406250
","2019-05-05 00:07:34.749176",,/BSO-2
10948,"92010.359375
","2019-05-05 00:07:43.375428",,/BSO-1
10949,"92016.757812
","2019-05-05 00:07:44.757158",,/BSO-2
10950,"92011.890625
","2019-05-05 00:07:52.374626",,/BSO-1
10951,"92015.921875
","2019-05-05 00:07:54.757403",,/BSO-2
10952,"92010.078125
","2019-05-05 00:08:02.391116",,/BSO-1
10953,"92017.570312
","2019-05-05 00:08:04.769216",,/BSO-2
10954,"92011.617188
","2019-05-05 00:08:12.387254",,/BSO-1
10955,"92017.328125
","2019-05-05 00:08:14.770731",,/BSO-2
10956,"92011.078125
","2019-05-05 00:08:22.405645",,/BSO-1
10957,"92017.601562
","2019-05-05 00:08:24.767994",,/BSO-2
10958,"92009.398438
","2019-05-05 00:08:32.425976",,/BSO-1
10959,"92018.335938
","2019-05-05 00:08:34.768111",,/BSO-2
10960,"92010.054688
","2019-05-05 00:08:42.448239",,/BSO-1
10961,"92017.406250
","2019-05-05 00:08:44.779645",,/BSO-2
10962,"92008.179688
","2019-05-05 00:08:52.458812",,/BSO-1
10963,"92016.765625
","2019-05-05 00:08:54.783631",,/BSO-2
10964,"92008.039062
","2019-05-05 00:09:02.454972",,/BSO-1
10965,"92016.523438
","2019-05-05 00:09:04.779455",,/BSO-2
10966,"92008.351562
","2019-05-05 00:09:12.468436",,/BSO-1
10967,"92018.617188
","2019-05-05 00:09:14.781236",,/BSO-2
10968,"92007.859375
","2019-05-05 00:09:22.487666",,/BSO-1
10969,"92015.921875
","2019-05-05 00:09:24.788485",,/BSO-2
10970,"92007.765625
","2019-05-05 00:09:32.502945",,/BSO-1
10971,"92015.992188
","2019-05-05 00:09:34.790996",,/BSO-2
10972,"92008.070312
","2019-05-05 00:09:42.527873",,/BSO-1
10973,"92016.328125
","2019-05-05 00:09:44.810422",,/BSO-2
10974,"92008.484375
","2019-05-05 00:09:52.536860",,/BSO-1
10975,"92015.335938
","2019-05-05 00:09:54.832750",,/BSO-2
10976,"92006.460938
","2019-05-05 00:10:02.556832",,/BSO-1
10977,"92018.140625
","2019-05-05 00:10:04.840207",,/BSO-2
10978,"92006.640625
","2019-05-05 00:10:12.576742",,/BSO-1
10979,"92015.828125
","2019-05-05 00:10:14.845382",,/BSO-2
10980,"92005.296875
","2019-05-05 00:10:22.588806",,/BSO-1
10981,"92015.859375
","2019-05-05 00:10:24.860102",,/BSO-2
10982,"92006.328125
","2019-05-05 00:10:32.639199",,/BSO-1
10983,"92014.273438
","2019-05-05 00:10:34.861457",,/BSO-2
10984,"92007.484375
","2019-05-05 00:10:42.758462",,/BSO-1
10985,"92013.484375
","2019-05-05 00:10:44.860614",,/BSO-2
10986,"92008.007812
","2019-05-05 00:10:52.778874",,/BSO-1
10987,"92014.242188
","2019-05-05 00:10:54.967783",,/BSO-2
10988,"92006.578125
","2019-05-05 00:11:02.781706",,/BSO-1
10989,"92013.906250
","2019-05-05 00:11:04.991627",,/BSO-2
10990,"92006.460938
","2019-05-05 00:11:12.837621",,/BSO-1
10991,"92014.851562
","2019-05-05 00:11:15.003439",,/BSO-2
10992,"92006.437500
","2019-05-05 00:11:22.852293",,/BSO-1
10993,"92014.703125
","2019-05-05 00:11:25.012030",,/BSO-2
10994,"92005.343750
","2019-05-05 00:11:32.851150",,/BSO-1
10995,"92015.429688
","2019-05-05 00:11:35.012336",,/BSO-2
10996,"92006.953125
","2019-05-05 00:11:42.862415",,/BSO-1
10997,"92015.109375
","2019-05-05 00:11:45.036373",,/BSO-2
10998,"92007.351562
","2019-05-05 00:11:52.884594",,/BSO-1
